date,price,currency
2022-05-18,29600.606,bitcoin
2022-05-19,29545.185,bitcoin
2022-05-20,29799.685,bitcoin
2022-05-21,29340.183,bitcoin
2022-05-22,29787.393,bitcoin
2022-05-23,30081.824,bitcoin
2022-05-24,29308.431,bitcoin
2022-05-25,29742.782,bitcoin
2022-05-26,29444.366,bitcoin
2022-05-27,28898.957,bitcoin
2022-05-28,28889.834,bitcoin
2022-05-29,29141.414,bitcoin
2022-05-30,30591.331,bitcoin
2022-05-31,31695.069,bitcoin
2022-06-01,31069.221,bitcoin
2022-06-02,30045.582,bitcoin
2022-06-03,29991.066,bitcoin
2022-06-04,29703.748,bitcoin
2022-06-05,29818.172,bitcoin
2022-06-06,31222.767,bitcoin
2022-06-07,30003.221,bitcoin
2022-06-08,30449.551,bitcoin
2022-06-09,30237.135,bitcoin
2022-06-10,29650.788,bitcoin
2022-06-11,28881.993,bitcoin
2022-06-12,27661.293,bitcoin
2022-06-13,24261.582,bitcoin
2022-06-14,22185.178,bitcoin
2022-06-15,21357.047,bitcoin
2022-06-16,21440.374,bitcoin
2022-06-17,20689.72,bitcoin
2022-06-18,19463.015,bitcoin
2022-06-19,19384.895,bitcoin
2022-06-20,20309.651,bitcoin
2022-06-21,20994.602,bitcoin
2022-06-22,20303.26,bitcoin
2022-06-23,20487.877,bitcoin
2022-06-24,21078.576,bitcoin
2022-06-25,21277.334,bitcoin
2022-06-26,21355.992,bitcoin
2022-06-27,21048.369,bitcoin
2022-06-28,20708.249,bitcoin
2022-06-29,20145.96,bitcoin
2022-06-30,19349.009,bitcoin
2022-07-01,19532.844,bitcoin
2022-07-02,19226.43,bitcoin
2022-07-03,19159.305,bitcoin
2022-07-04,19495.408,bitcoin
2022-07-06,20167.42,bitcoin
2022-07-07,20769.906,bitcoin
2022-07-08,21753.174,bitcoin
2022-07-09,21622.121,bitcoin
2022-07-10,21144.585,bitcoin
2022-07-11,20472.121,bitcoin
2022-07-12,19760.332,bitcoin
2022-07-13,19619.221,bitcoin
2022-07-14,20173.887,bitcoin
2022-07-15,20768.47,bitcoin
2022-07-16,20846.466,bitcoin
2022-07-17,21189.787,bitcoin
2022-07-18,21807.409,bitcoin
2022-07-19,22519.992,bitcoin
2022-07-20,23570.38,bitcoin
2022-07-21,22942.165,bitcoin
2022-07-22,23148.798,bitcoin
2022-07-23,22530.132,bitcoin
2022-07-24,22656.491,bitcoin
2022-07-25,21961.798,bitcoin
2022-07-26,21046.086,bitcoin
2022-07-27,21659.691,bitcoin
2022-07-28,23309.431,bitcoin
2022-07-29,23877.158,bitcoin
2022-07-30,24020.952,bitcoin
2022-07-31,23716.79,bitcoin
2022-08-01,23225.219,bitcoin
2022-08-02,22982.857,bitcoin
2022-08-03,23179.567,bitcoin
2022-08-04,22858.412,bitcoin
2022-08-05,23070.487,bitcoin
2022-08-06,23186.325,bitcoin
2022-08-07,23078.032,bitcoin
2022-08-08,23783.239,bitcoin
2022-08-09,23449.384,bitcoin
2022-08-10,23408.411,bitcoin
2022-08-11,24344.085,bitcoin
2022-08-12,23977.458,bitcoin
2022-08-13,24508.554,bitcoin
2022-08-14,24488.086,bitcoin
2022-08-15,24255.887,bitcoin
2022-08-16,23972.002,bitcoin
2022-08-17,23712.956,bitcoin
2022-08-18,23431.102,bitcoin
2022-08-19,21878.296,bitcoin
2022-08-20,21229.059,bitcoin
2022-08-21,21402.849,bitcoin
2022-08-22,21294.5,bitcoin
2022-08-23,21403.024,bitcoin
2022-08-24,21481.344,bitcoin
2022-08-25,21609.425,bitcoin
2022-08-26,21183.574,bitcoin
2022-08-27,20154.596,bitcoin
2022-08-28,20029.625,bitcoin
2022-08-29,19998.167,bitcoin
2022-08-30,20154.952,bitcoin
2022-08-31,20213.211,bitcoin
2022-09-01,19983.799,bitcoin
2022-09-02,20097.387,bitcoin
2022-09-03,19854.815,bitcoin
2022-09-04,19812.51,bitcoin
2022-09-05,19796.894,bitcoin
2022-09-06,19611.464,bitcoin
2022-09-07,18913.44,bitcoin
2022-09-08,19266.046,bitcoin
2022-09-09,20741.486,bitcoin
2022-09-10,21447.617,bitcoin
2022-09-11,21670.063,bitcoin
2022-09-12,22140.164,bitcoin
